Timestamp,Milliseconds,LightValue
2025-05-15 13:32:40,9235000,37
2025-05-15 13:32:45,9240000,32
2025-05-15 13:32:50,9245000,38
2025-05-15 13:32:55,9250000,32
2025-05-15 13:33:00,9255000,28
2025-05-15 13:33:05,9260000,34
2025-05-15 13:33:10,9265000,28
2025-05-15 13:33:15,9270000,31
2025-05-15 13:33:20,9275000,31
2025-05-15 13:33:25,9280000,32
2025-05-15 13:33:30,9285000,33
2025-05-15 13:33:35,9290000,34
2025-05-15 13:33:40,9295000,35
2025-05-15 13:33:45,9300000,34
2025-05-15 13:33:50,9305000,32
2025-05-15 13:33:55,9310000,37
2025-05-15 13:34:00,9315000,28
2025-05-15 13:34:05,9320000,36
2025-05-15 13:34:10,9325000,32
2025-05-15 13:34:15,9330000,36
2025-05-15 13:34:20,9335000,26
2025-05-15 13:34:25,9340000,32
2025-05-15 13:34:30,9345000,32
2025-05-15 13:34:35,9350000,33
2025-05-15 13:34:40,9355000,35
2025-05-15 13:34:45,9360000,37
2025-05-15 13:34:50,9365000,33
2025-05-15 13:34:55,9370000,33
2025-05-15 13:35:00,9375000,34
2025-05-15 13:35:05,9380000,37
2025-05-15 13:35:10,9385000,35
2025-05-15 13:35:15,9390000,33
2025-05-15 13:35:20,9395000,39
2025-05-15 13:35:25,9400000,33
2025-05-15 13:35:30,9405000,36
2025-05-15 13:35:35,9410000,27
2025-05-15 13:35:40,9415000,32
2025-05-15 13:35:45,9420000,29
2025-05-15 13:35:50,9425000,27
2025-05-15 13:35:55,9430000,34
2025-05-15 13:36:00,9435000,27
2025-05-15 13:36:05,9440000,34
2025-05-15 13:36:10,9445000,34
2025-05-15 13:36:15,9450000,34
2025-05-15 13:36:20,9455000,34
2025-05-15 13:36:25,9460000,31
2025-05-15 13:36:30,9465000,47
2025-05-15 13:36:35,9470000,36
2025-05-15 13:36:40,9475000,27
2025-05-15 13:36:45,9480000,32
2025-05-15 13:36:50,9485000,34
2025-05-15 13:36:55,9490000,34
2025-05-15 13:37:00,9495000,26
2025-05-15 13:37:05,9500000,37
2025-05-15 13:37:10,9505000,32
2025-05-15 13:37:15,9510000,33
2025-05-15 13:37:20,9515000,30
2025-05-15 13:37:25,9520000,29
2025-05-15 13:37:30,9525000,33
2025-05-15 13:37:35,9530000,37
