sensor_name,timestamp,x,y,z
LSM6DS3,266668,-4.88,-25.09,-5.98
LSM6DS3,266668,-4.88,-25.09,-5.98
LSM6DS3,271680,-5.68,4.27,-5.62
LSM6DS3,271680,-5.68,4.27,-5.62
LSM6DS3,276692,-1.1,-14.59,1.59
LSM6DS3,281704,-29.05,-13.18,-41.02
LSM6DS3,281704,-29.05,-13.18,-41.02
LSM6DS3,286716,25.57,-10.01,-9.34
LSM6DS3,286716,25.57,-10.01,-9.34
LSM6DS3,291728,1.28,1.89,2.08
LSM6DS3,291728,1.28,1.89,2.08
LSM6DS3,296739,1.04,1.34,0.24
LSM6DS3,301751,-51.33,-28.2,-19.78
LSM6DS3,301751,-51.33,-28.2,-19.78
LSM6DS3,306762,-13.49,-3.42,-3.36
LSM6DS3,306762,-13.49,-3.42,-3.36
LSM6DS3,311774,-0.31,-4.46,0.98
LSM6DS3,311774,-0.31,-4.46,0.98
LSM6DS3,316786,1.71,3.6,1.46
LSM6DS3,316786,1.71,3.6,1.46
LSM6DS3,321798,44.74,37.6,-12.08
LSM6DS3,321798,44.74,37.6,-12.08
LSM6DS3,326810,-0.06,-1.89,0.67
LSM6DS3,331822,0.06,9.22,-4.33
LSM6DS3,336832,-0.92,-0.12,-0.85
LSM6DS3,341844,0.67,0.12,-0.49
LSM6DS3,346857,0.49,0.24,0.0
LSM6DS3,447094,0.98,1.04,0.06
LSM6DS3,452106,-9.46,13.24,5.55
LSM6DS3,457118,0.49,33.75,56.58
LSM6DS3,462130,39.06,3.72,-17.15
LSM6DS3,467142,-32.53,-6.53,1.59
LSM6DS3,472154,-39.49,-15.14,-4.7
LSM6DS3,477165,0.85,0.61,-1.04
LSM6DS3,482177,1.71,-1.95,1.53
LSM6DS3,487189,27.16,21.67,-8.06
LSM6DS3,492201,-66.77,19.59,18.86
LSM6DS3,497214,151.67,50.48,-37.11
LSM6DS3,502227,-107.73,-126.34,21.85
LSM6DS3,507239,-2.38,5.07,1.59
LSM6DS3,512251,6.96,4.58,-3.78
LSM6DS3,517263,5.25,4.09,1.71
LSM6DS3,522275,-6.77,14.83,10.13
LSM6DS3,527287,0.0,-1.28,1.04
LSM6DS3,532299,3.17,0.98,-2.2
LSM6DS3,537311,-55.24,-5.92,66.47
LSM6DS3,542323,-67.57,-13.98,1.65
LSM6DS3,547336,2.75,-3.78,12.08
LSM6DS3,552348,6.35,6.16,-1.59
LSM6DS3,557360,1.77,-0.55,1.65
LSM6DS3,562373,-7.93,58.17,2.99
LSM6DS3,567384,-2.69,34.61,2.14
LSM6DS3,572396,-9.22,-1.46,-32.29
LSM6DS3,577408,5.25,1.04,-0.79
LSM6DS3,582421,0.98,0.18,0.37
LSM6DS3,587433,0.73,0.18,0.24
LSM6DS3,592446,0.37,0.06,0.49
LSM6DS3,597455,1.28,0.31,0.31
LSM6DS3,602467,0.49,0.43,0.24
LSM6DS3,607477,2.75,0.67,0.12
LSM6DS3,612490,-0.37,-1.46,2.62
LSM6DS3,617501,0.0,-0.06,0.37
LSM6DS3,622513,-0.06,0.55,0.98
LSM6DS3,627526,31.37,6.53,-6.23
LSM6DS3,632538,-1.16,-1.46,-2.2
LSM6DS3,637550,3.05,-0.37,1.04
LSM6DS3,642561,0.49,0.18,0.31
LSM6DS3,647573,-2.14,0.49,0.67
LSM6DS3,652586,-0.18,2.87,-6.53
LSM6DS3,657598,0.67,0.0,0.61
LSM6DS3,662611,0.85,-0.43,1.83
LSM6DS3,667623,-0.12,0.12,-1.22
